date,area_id,area_name,district,area_radius_m,is_weekend,visitor_count_gu,matched_store_count,store_total,food_count,cafe_count,retail_count,accommodation_count,tourist_spot_count,event_count,temp,rain_flag,visitor_score,event_score,tourism_score,store_score,weather_score,demand_score
2026-05-01,A001,충장로 / 금남로,동구,800,0,52700,4203,4203,1140,114,1401,80,8,2,18,0,72.62,14.29,33.33,100.0,74,59.31
2026-05-02,A001,충장로 / 금남로,동구,800,1,62430,4203,4203,1140,114,1401,80,8,4,20,0,98.84,42.86,33.33,100.0,78,75.91
2026-05-03,A001,충장로 / 금남로,동구,800,1,62860,4203,4203,1140,114,1401,80,8,4,21,0,100.0,42.86,33.33,100.0,80,76.57
2026-05-04,A001,충장로 / 금남로,동구,800,0,53990,4203,4203,1140,114,1401,80,8,2,21,0,76.1,14.29,33.33,100.0,80,61.3
2026-05-05,A001,충장로 / 금남로,동구,800,0,54420,4203,4203,1140,114,1401,80,8,2,22,0,77.26,14.29,33.33,100.0,82,61.96
2026-05-06,A001,충장로 / 금남로,동구,800,0,54850,4203,4203,1140,114,1401,80,8,2,23,0,78.42,14.29,33.33,100.0,80,62.22
2026-05-07,A001,충장로 / 금남로,동구,800,0,55280,4203,4203,1140,114,1401,80,8,2,24,0,79.57,14.29,33.33,100.0,78,62.49
2026-05-08,A001,충장로 / 금남로,동구,800,0,52700,4203,4203,1140,114,1401,80,8,2,25,0,72.62,14.29,33.33,100.0,76,59.51
2026-05-09,A001,충장로 / 금남로,동구,800,1,59830,4203,4203,1140,114,1401,80,8,4,27,1,91.84,42.86,33.33,100.0,40,69.31
2026-05-10,A001,충장로 / 금남로,동구,800,1,62860,4203,4203,1140,114,1401,80,8,4,28,0,100.0,42.86,33.33,100.0,70,75.57
2026-05-11,A001,충장로 / 금남로,동구,800,0,53990,4203,4203,1140,114,1401,80,8,2,18,0,76.1,14.29,33.33,100.0,74,60.7
2026-05-12,A001,충장로 / 금남로,동구,800,0,54420,4203,4203,1140,114,1401,80,8,2,19,0,77.26,14.29,33.33,100.0,76,61.36
2026-05-13,A001,충장로 / 금남로,동구,800,0,54850,4203,4203,1140,114,1401,80,8,2,20,0,78.42,14.29,33.33,100.0,78,62.02
2026-05-14,A001,충장로 / 금남로,동구,800,0,55280,4203,4203,1140,114,1401,80,8,2,21,0,79.57,14.29,33.33,100.0,80,62.69
2026-05-15,A001,충장로 / 금남로,동구,800,0,52700,4203,4203,1140,114,1401,80,8,2,22,0,72.62,14.29,33.33,100.0,82,60.11
2026-05-16,A001,충장로 / 금남로,동구,800,1,62430,4203,4203,1140,114,1401,80,8,4,24,0,98.84,42.86,33.33,100.0,78,75.91
2026-05-17,A001,충장로 / 금남로,동구,800,1,62860,4203,4203,1140,114,1401,80,8,4,25,0,100.0,42.86,33.33,100.0,76,76.17
2026-05-18,A001,충장로 / 금남로,동구,800,0,51390,4203,4203,1140,114,1401,80,8,2,25,1,69.09,14.29,33.33,100.0,44,54.89
2026-05-19,A001,충장로 / 금남로,동구,800,0,54420,4203,4203,1140,114,1401,80,8,2,26,0,77.26,14.29,33.33,100.0,74,61.16
2026-05-20,A001,충장로 / 금남로,동구,800,0,54850,4203,4203,1140,114,1401,80,8,2,27,0,78.42,14.29,33.33,100.0,72,61.42
2026-05-21,A001,충장로 / 금남로,동구,800,0,55280,4203,4203,1140,114,1401,80,8,2,18,0,79.57,14.29,33.33,100.0,74,62.09
2026-05-22,A001,충장로 / 금남로,동구,800,0,52700,4203,4203,1140,114,1401,80,8,2,19,0,72.62,14.29,33.33,100.0,76,59.51
2026-05-23,A001,충장로 / 금남로,동구,800,1,62430,4203,4203,1140,114,1401,80,8,4,21,0,98.84,42.86,33.33,100.0,80,76.11
2026-05-24,A001,충장로 / 금남로,동구,800,1,62860,4203,4203,1140,114,1401,80,8,4,22,0,100.0,42.86,33.33,100.0,82,76.77
2026-05-25,A001,충장로 / 금남로,동구,800,0,53990,4203,4203,1140,114,1401,80,8,2,22,0,76.1,14.29,33.33,100.0,82,61.5
2026-05-26,A001,충장로 / 금남로,동구,800,0,54420,4203,4203,1140,114,1401,80,8,2,23,0,77.26,14.29,33.33,100.0,80,61.76
2026-05-27,A001,충장로 / 금남로,동구,800,0,52250,4203,4203,1140,114,1401,80,8,2,24,1,71.41,14.29,33.33,100.0,46,56.02
2026-05-28,A001,충장로 / 금남로,동구,800,0,55280,4203,4203,1140,114,1401,80,8,2,25,0,79.57,14.29,33.33,100.0,76,62.29
2026-05-29,A001,충장로 / 금남로,동구,800,0,52700,4203,4203,1140,114,1401,80,8,2,26,0,72.62,14.29,33.33,100.0,74,59.31
2026-05-30,A001,충장로 / 금남로,동구,800,1,62430,4203,4203,1140,114,1401,80,8,4,28,0,98.84,42.86,33.33,100.0,70,75.11
2026-05-01,A002,양림동 역사문화마을,남구,700,0,28350,905,905,259,22,306,23,14,1,18,0,7.01,0.0,83.33,0.0,74,22.7
2026-05-02,A002,양림동 역사문화마을,남구,700,1,37910,905,905,259,22,306,23,14,3,20,0,32.77,28.57,83.33,0.0,78,39.12
2026-05-03,A002,양림동 역사문화마을,남구,700,1,38170,905,905,259,22,306,23,14,3,21,0,33.47,28.57,83.33,0.0,80,39.6
2026-05-04,A002,양림동 역사문화마을,남구,700,0,29130,905,905,259,22,306,23,14,1,21,0,9.11,0.0,83.33,0.0,80,24.14
2026-05-05,A002,양림동 역사문화마을,남구,700,0,29390,905,905,259,22,306,23,14,1,22,0,9.81,0.0,83.33,0.0,82,24.62
2026-05-06,A002,양림동 역사문화마을,남구,700,0,29650,905,905,259,22,306,23,14,1,23,0,10.51,0.0,83.33,0.0,80,24.7
2026-05-07,A002,양림동 역사문화마을,남구,700,0,29910,905,905,259,22,306,23,14,1,24,0,11.21,0.0,83.33,0.0,78,24.78
2026-05-08,A002,양림동 역사문화마을,남구,700,0,25750,905,905,259,22,306,23,14,1,25,1,0.0,0.0,83.33,0.0,44,16.9
2026-05-09,A002,양림동 역사문화마을,남구,700,1,37910,905,905,259,22,306,23,14,3,27,0,32.77,28.57,83.33,0.0,72,38.52
