"date","area_id","area_name","district","day_of_week","is_weekend","matched_store_count","food_count","cafe_count","retail_count","accommodation_count","tourism_score","tourist_spot_count","event_count","culture_count","visitor_count_gu","visitor_growth","visitor_score","temp","rain_mm","rain_flag","weather_score","commercial_score","tourism_component_score","visitor_component_score","event_component_score","weather_component_score","demand_score"
"2026-05-01","A001","충장로 / 금남로","동구","4","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","21.6","0","0","85.9","100","74","91.6","45","85.9","84.4"
"2026-05-02","A001","충장로 / 금남로","동구","5","1","4203","1140","114","1401","80","74","8","7","4","185760","14.5","100","21.9","0","0","86.4","100","74","100","63","86.4","88.4"
"2026-05-03","A001","충장로 / 금남로","동구","6","1","4203","1140","114","1401","80","74","8","7","4","176816","14.5","94.8","22.2","12.3","1","57.7","100","74","94.8","63","57.7","81.3"
"2026-05-04","A001","충장로 / 금남로","동구","0","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","22.6","0","0","87.4","100","74","91.6","45","87.4","84.7"
"2026-05-05","A001","충장로 / 금남로","동구","1","0","4203","1140","114","1401","80","74","8","5","4","173376","14.5","92.8","23","0","0","88","100","74","92.8","45","88","85.1"
"2026-05-06","A001","충장로 / 금남로","동구","2","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","23.3","0","0","87.6","100","74","90.4","45","87.6","84.4"
"2026-05-07","A001","충장로 / 금남로","동구","3","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","23.6","0","0","87.1","100","74","91.6","45","87.1","84.6"
"2026-05-08","A001","충장로 / 금남로","동구","4","0","4203","1140","114","1401","80","74","8","5","4","167184","14.5","89.2","24","12.3","1","57.4","100","74","89.2","45","57.4","78.1"
"2026-05-09","A001","충장로 / 금남로","동구","5","1","4203","1140","114","1401","80","74","8","7","4","183008","14.5","98.4","24.4","0","0","85.9","100","74","98.4","63","85.9","87.9"
"2026-05-10","A001","충장로 / 금남로","동구","6","1","4203","1140","114","1401","80","74","8","7","4","185072","14.5","99.6","24.7","0","0","85.4","100","74","99.6","63","85.4","88.1"
"2026-05-11","A001","충장로 / 금남로","동구","0","0","4203","1140","114","1401","80","74","8","5","4","173376","14.5","92.8","25","0","0","85","100","74","92.8","45","85","84.5"
"2026-05-12","A001","충장로 / 금남로","동구","1","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","25.4","0","0","84.4","100","74","90.4","45","84.4","83.8"
"2026-05-13","A001","충장로 / 금남로","동구","2","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","25.8","0","0","83.8","100","74","91.6","45","83.8","84"
"2026-05-14","A001","충장로 / 금남로","동구","3","0","4203","1140","114","1401","80","74","8","5","4","167184","14.5","89.2","26.1","14.1","1","52.7","100","74","89.2","45","52.7","77.1"
"2026-05-15","A001","충장로 / 금남로","동구","4","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","21.6","0","0","85.9","100","74","90.4","45","85.9","84.1"
"2026-05-16","A001","충장로 / 금남로","동구","5","1","4203","1140","114","1401","80","74","8","7","4","185072","14.5","99.6","21.9","0","0","86.4","100","74","99.6","63","86.4","88.3"
"2026-05-17","A001","충장로 / 금남로","동구","6","1","4203","1140","114","1401","80","74","8","7","4","185760","14.5","100","22.2","0","0","86.8","100","74","100","63","86.8","88.5"
"2026-05-18","A001","충장로 / 금남로","동구","0","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","22.6","0","0","87.4","100","74","90.4","45","87.4","84.4"
"2026-05-19","A001","충장로 / 금남로","동구","1","0","4203","1140","114","1401","80","74","8","5","4","165120","14.5","88","23","14.1","1","57.3","100","74","88","45","57.3","77.8"
"2026-05-20","A001","충장로 / 금남로","동구","2","0","4203","1140","114","1401","80","74","8","5","4","173376","14.5","92.8","23.3","0","0","87.6","100","74","92.8","45","87.6","85"
"2026-05-21","A001","충장로 / 금남로","동구","3","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","23.6","0","0","87.1","100","74","90.4","45","87.1","84.3"
"2026-05-22","A001","충장로 / 금남로","동구","4","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","24","0","0","86.5","100","74","91.6","45","86.5","84.5"
"2026-05-23","A001","충장로 / 금남로","동구","5","1","4203","1140","114","1401","80","74","8","7","4","185760","14.5","100","24.4","0","0","85.9","100","74","100","63","85.9","88.3"
"2026-05-24","A001","충장로 / 금남로","동구","6","1","4203","1140","114","1401","80","74","8","7","4","183008","14.5","98.4","24.7","0","0","85.4","100","74","98.4","63","85.4","87.8"
"2026-05-25","A001","충장로 / 금남로","동구","0","0","4203","1140","114","1401","80","74","8","5","4","165120","14.5","88","25","15.9","1","52.7","100","74","88","45","52.7","76.8"
"2026-05-26","A001","충장로 / 금남로","동구","1","0","4203","1140","114","1401","80","74","8","5","4","173376","14.5","92.8","25.4","0","0","84.4","100","74","92.8","45","84.4","84.4"
"2026-05-27","A001","충장로 / 금남로","동구","2","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","25.8","0","0","83.8","100","74","90.4","45","83.8","83.7"
"2026-05-28","A001","충장로 / 금남로","동구","3","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","26.1","0","0","83.4","100","74","91.6","45","83.4","83.9"
"2026-05-29","A001","충장로 / 금남로","동구","4","0","4203","1140","114","1401","80","74","8","5","4","173376","14.5","92.8","21.6","0","0","85.9","100","74","92.8","45","85.9","84.7"
"2026-05-30","A001","충장로 / 금남로","동구","5","1","4203","1140","114","1401","80","74","8","7","4","176816","14.5","94.8","21.9","15.9","1","54","100","74","94.8","63","54","80.6"
"2026-05-31","A001","충장로 / 금남로","동구","6","1","4203","1140","114","1401","80","74","8","7","4","185072","14.5","99.6","22.2","0","0","86.8","100","74","99.6","63","86.8","88.4"
"2026-06-01","A001","충장로 / 금남로","동구","0","0","4203","1140","114","1401","80","74","8","5","4","173376","14.5","92.8","22.6","0","0","87.4","100","74","92.8","45","87.4","85"
"2026-06-02","A001","충장로 / 금남로","동구","1","0","4203","1140","114","1401","80","74","8","5","4","169248","14.5","90.4","23","0","0","88","100","74","90.4","45","88","84.5"
"2026-06-03","A001","충장로 / 금남로","동구","2","0","4203","1140","114","1401","80","74","8","5","4","171312","14.5","91.6","23.3","0","0","87.6","100","74","91.6","45","87.6","84.7"
