sido_name,district,category_large,category_middle,store_name,latitude,longitude,store_category
광주광역시,서구,수리·개인,이용·미용,오땡큐블루커트,35.1344259751706,126.862473281404,other
광주광역시,광산구,수리·개인,자동차 수리·세차,정비대장,35.1816458638482,126.832048866025,other
광주광역시,서구,소매,섬유·의복·신발 소매,모다,35.1435601904184,126.873903291718,retail
광주광역시,서구,교육,기타 교육,큰소리내는사람들,35.1439647029663,126.856696116185,other
광주광역시,광산구,소매,철물·건설자재 소매,중앙상사,35.138705725805,126.797078847287,retail
광주광역시,광산구,소매,의약·화장품 소매,다솜,35.1695982626547,126.810031824328,retail
광주광역시,광산구,과학·기술,광고,피드마케팅,35.2240707987031,126.818384865476,other
광주광역시,광산구,시설관리·임대,산업용품 대여,아이포스,35.1360768125516,126.788329320757,other
광주광역시,북구,시설관리·임대,고용 알선,시에스엔터테인먼트,35.1726216025229,126.866964620764,other
광주광역시,동구,부동산,부동산 서비스,세운개발,35.1503943016965,126.932594997522,other
광주광역시,남구,음식,기타 간이,설렘담,35.1444401548548,126.910674580671,food
광주광역시,남구,음식,비알코올,온화명,35.1411711849499,126.914804074147,food
광주광역시,광산구,음식,구내식당·뷔페,송산유원지집단급식소,35.1632761370996,126.740117533416,food
광주광역시,광산구,보건의료,병원,슬기로운재활병원,35.1429214377931,126.795499186833,other
광주광역시,북구,보건의료,병원,광주미래병원,35.1808244035906,126.933020004107,other
광주광역시,광산구,소매,식물 소매,세컨드가든비,35.14721659802,126.777688635589,retail
광주광역시,북구,보건의료,기타 보건,첨단1에듀플렉스심리상담연구소,35.2073257044631,126.860692182345,other
광주광역시,남구,교육,일반 교육,광주효천1지구한우리독서토론논술교습소,35.1014317186131,126.875163696255,other
광주광역시,북구,수리·개인,장례식장,만민상조토탈,35.1792505107365,126.92366777193,other
광주광역시,북구,예술·스포츠,도서관·사적지,이지스터디센터문흥독서실,35.1859102304259,126.921630391315,other
광주광역시,서구,음식,구내식당·뷔페,세하동시내버스구내식당,35.1190300627841,126.83325255775,food
광주광역시,남구,보건의료,의원,복음내과의원,35.1260432060003,126.91049719074,other
광주광역시,서구,소매,식물 소매,별빛다육화분,35.1288133827908,126.882352166449,retail
광주광역시,북구,소매,기타 생활용품 소매,강진옹기,35.2368785421103,126.893874525451,retail
광주광역시,광산구,소매,중고 상품 소매,광주중고명품레드,35.1905548665318,126.815934119585,retail
광주광역시,서구,과학·기술,기술 서비스,다온기술사무소,35.1222282185457,126.860453245348,other
광주광역시,남구,수리·개인,이용·미용,연우,35.1311833711553,126.891367621913,other
광주광역시,동구,음식,비알코올,지유명차광주점,35.1364826906297,126.943162078257,food
광주광역시,서구,보건의료,의원,탑치과교정과치과의원,35.1594429450675,126.883701989588,other
광주광역시,서구,소매,의약·화장품 소매,대상의료기산업,35.1162249385525,126.860287964665,retail
광주광역시,광산구,소매,종합 소매,금영유통,35.1705352565218,126.809766194048,retail
광주광역시,남구,소매,의약·화장품 소매,효사랑약국,35.1368987455973,126.914830470584,retail
광주광역시,광산구,교육,기타 교육,대우한음음악교습소,35.2196176133454,126.830454924128,other
광주광역시,남구,교육,기타 교육,주니어그린섬미술학원,35.1239332489376,126.90946823578,other
광주광역시,남구,음식,한식,진고래아구찜해물찜,35.1349151082823,126.891472388952,food
광주광역시,북구,음식,한식,금광식당,35.1746462852445,126.881056674761,food
광주광역시,북구,소매,섬유·의복·신발 소매,천연염색공방솔롱고,35.175993676197,126.934011975507,retail
광주광역시,동구,과학·기술,법무관련,법률사무소법나루,35.1515031940895,126.932989168143,other
광주광역시,북구,예술·스포츠,유원지·오락,우리노래연습장,35.174105424121,126.926351121003,other
광주광역시,광산구,음식,한식,초록에보성녹돈,35.1562239497144,126.811204340745,food
광주광역시,광산구,소매,애완동물·용품 소매,아쿠아앤쥬,35.2019188763958,126.820575556159,retail
광주광역시,북구,과학·기술,본사·경영 컨설팅,사이파이랩,35.1847277273735,126.876331977322,other
광주광역시,북구,수리·개인,이용·미용,람스네일,35.2090968711968,126.864675740044,other
광주광역시,남구,음식,주점,카메,35.1224321282807,126.91521853484,food
광주광역시,서구,소매,오락용품 소매,동방컴퓨터,35.1229926363832,126.884499833772,retail
광주광역시,북구,음식,주점,펍,35.1829459322655,126.870471994875,food
광주광역시,서구,부동산,부동산 서비스,광천동부자공인중개사사무소,35.1661078276776,126.87843473827,other
광주광역시,북구,소매,가전·통신 소매,희재컴퍼니,35.1800408911945,126.895715980099,retail
